,X.当周毛利,Y.次周毛利,Z.季度毛利,M．次周为当周倍数,N．季度为次周倍数,添加时间
eth_usd,-0.00292138,-0.00130041,0.04885645,0.44513619,38.56993007,2018-01-03 23:42:56
btc_usd,0.00441177,0.00569972,0.07450864,1.2919367,13.07232851,2018-01-03 23:42:56
ltc_usd,0.00398567,0.01218696,0.10157813,3.05769231,8.33498841,2018-01-03 23:42:49
etc_usd,-0.00147562,0.00693856,0.11362281,5.70212766,16.37556561,2018-01-03 23:42:49
bch_usd,0.00159313,0.00220448,0.11210394,1.38373786,50.85283284,2018-01-03 23:42:49
eth_usd,-0.00292705,-0.00130609,0.04885049,0.44621359,38.40208877,2018-01-03 23:42:48
btc_usd,0.00371789,0.00578131,0.07393948,1.55499911,12.78939499,2018-01-03 23:42:48
ltc_usd,0.0033502,0.01154629,0.10055433,3.44645006,8.70879888,2018-01-03 23:42:40
etc_usd,-0.00147562,0.00693856,0.11362281,5.70212766,16.37556561,2018-01-03 23:42:40
bch_usd,0.00159313,0.00220448,0.11210394,1.38373786,50.85283284,2018-01-03 23:42:39
eth_usd,-0.00175964,-0.00396034,0.04885288,2.25064599,13.33553387,2018-01-03 23:42:39
btc_usd,0.00340295,0.00337503,0.07360184,0.99179527,21.80776049,2018-01-03 23:42:39
ltc_usd,0.003682,0.0118808,0.10091828,3.22672508,8.49422946,2018-01-03 23:42:27
etc_usd,-0.00238611,0.00722112,0.11362281,4.02631579,15.73478261,2018-01-03 23:42:27
bch_usd,0.00047122,0.00108188,0.11085825,2.29590164,102.46769011,2018-01-03 23:42:26
eth_usd,-0.00170291,-0.00390372,0.04891249,2.29238985,13.52970297,2018-01-03 23:42:26
btc_usd,0.00360977,0.00358185,0.07382247,0.99226377,20.61017264,2018-01-03 23:42:26
ltc_usd,0.00311744,0.01213905,0.10195193,3.89391979,8.3986711,2018-01-03 23:42:17
etc_usd,-0.00119096,0.00545335,0.11166829,5.57894737,20.47701149,2018-01-03 23:42:17
bch_usd,0.00047122,0.00108188,0.11085825,2.29590164,102.46769011,2018-01-03 23:42:17
eth_usd,-0.0020319,-0.004232,0.04856681,2.08277405,12.47610097,2018-01-03 23:42:17
btc_usd,0.00331788,0.00358185,0.07382247,1.07955912,20.61017264,2018-01-03 23:42:17
ltc_usd,0.00311744,0.01213905,0.10093967,3.89391979,8.31528239,2018-01-03 23:42:08
etc_usd,-0.00209985,0.00545335,0.11207572,3.59701493,20.55172414,2018-01-03 23:42:08
bch_usd,0.00044844,0.00489494,0.11085825,10.91559001,22.64751835,2018-01-03 23:42:08
eth_usd,-0.00205118,-0.00425123,0.04854656,2.07257618,12.41940658,2018-01-03 23:42:08
btc_usd,0.00469282,0.00356316,0.07373532,0.75928025,20.69378615,2018-01-03 23:42:08
ltc_usd,0.00157688,0.00968712,0.09829084,6.14322251,10.14654455,2018-01-03 23:41:56
etc_usd,-0.00322813,0.00545335,0.11207572,2.68932039,20.55172414,2018-01-03 23:41:56
bch_usd,0.00044844,0.00489494,0.11085825,10.91559001,22.64751835,2018-01-03 23:41:55
eth_usd,-0.00181638,-0.00401695,0.04879327,2.21151439,13.14685908,2018-01-03 23:41:55
btc_usd,0.00286104,0.00356316,0.07300461,1.24541018,20.48871058,2018-01-03 23:41:55
ltc_usd,0.00194309,0.00928009,0.09784808,4.77593361,10.54387489,2018-01-03 23:41:45
etc_usd,-0.00322813,0.00545335,0.11207572,2.68932039,20.55172414,2018-01-03 23:41:45
bch_usd,0.00044844,0.00489494,0.11085825,10.91559001,22.64751835,2018-01-03 23:41:45
